feature,importance
APPROVED_AMT_APPLICATION_MEAN,242.2
ACTIVE_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_RATIO_MEAN,242.2
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,241.6
PREV_AMT_CREDIT_MAX,241.0
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,240.4
CLOSED_DAYS_CREDIT_MIN,236.0
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,235.6
CLOSED_NEW_BURO_DAYS_CREDIT_DAYS_CREDIT_ENDDATE_DIFF_MAX,235.6
CCNEW_AMT_DRAWINGS_DIFF_W_PAYMENT_CURRENT_MEAN,233.0
CLOSED_NEW_BURO_DAYS_CREDIT_DAYS_ENDDATE_FACT_DIFF_MEAN,231.4
BURO_AMT_CREDIT_SUM_DEBT_MAX,230.4
NEW_DEF/OBS_30,229.8
CLOSED_MONTHS_BALANCE_SIZE_MEAN,229.2
CLOSED_NEW_BURO_DAYS_CREDIT_DAYS_ENDDATE_FACT_DIFF_VAR,229.0
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,228.8
CLOSED_NEW_BURO_DAYS_CREDIT_DAYS_ENDDATE_FACT_DIFF_MIN,228.8
APPROVED_AMT_APPLICATION_MAX,225.0
BURO_DAYS_CREDIT_SIZE,224.6
BURO_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_DEBT_RATIO_MEAN,224.2
BURO_NEW_BURO_DAYS_CREDIT_DAYS_ENDDATE_FACT_DIFF_MIN,222.4
PREV_INSTAL_PREV_NEW_PAYMENT_DIFF_MEAN_MEAN,222.2
PREV_NAME_CLIENT_TYPE_New_MEAN,221.8
CLOSED_NEW_BURO_DAYS_CREDIT_DAYS_ENDDATE_FACT_DIFF_MAX,221.2
LIVINGAREA_AVG,220.4
CODE_GENDER_M,220.4
PREV_NAME_PAYMENT_TYPE_Cash through the bank_MEAN,216.8
APPROVED_AMT_GOODS_PRICE_MEAN,216.6
BURO_AMT_CREDIT_SUM_LIMIT_VAR,216.6
APARTMENTS_AVG,216.2
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_ENDDATE_FACT_DIFF_VAR,215.6
PREV_CHANNEL_TYPE_Stone_MEAN,214.4
PREV_NEW_INSTAL_PREV_AMT_INSTALMENT_AND_PAYMENT_SUM_RATIO_MEAN,214.0
CLOSED_MONTHS_BALANCE_SIZE_MIN,213.8
CLOSED_NEW_BURO_DAYS_CREDIT_DAYS_CREDIT_ENDDATE_DIFF_MEAN,213.0
BURO_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_DEBT_RATIO_MAX,212.8
PREV_AMT_APPLICATION_MAX,212.6
PREV_INSTAL_PREV_NEW_PAYMENT_PERC_MEAN_MEAN,212.2
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MAX,211.6
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,211.4
BURO_NEW_BURO_DAYS_CREDIT_DAYS_CREDIT_ENDDATE_DIFF_MEAN,209.8
BURO_MONTHS_BALANCE_MIN_MAX,209.6
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,208.2
PREV_PRODUCT_COMBINATION_Cash X-Sell: low_MEAN,206.6
ACTIVE_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_LIMIT_RATIO_MIN,206.2
PREV_NAME_PORTFOLIO_XNA_MEAN,204.6
PREV_NAME_PRODUCT_TYPE_x-sell_MEAN,204.0
PREV_HOUR_APPR_PROCESS_START_MAX,203.8
PREV_PRODUCT_COMBINATION_POS household with interest_MEAN,203.0
CLOSED_MONTHS_BALANCE_SIZE_MAX,201.8
ACTIVE_AMT_CREDIT_SUM_LIMIT_VAR,201.2
PREV_NAME_YIELD_GROUP_XNA_MEAN,200.2
BURO_MONTHS_BALANCE_MIN_MIN,198.0
LIVINGAREA_MEDI,197.8
PREV_CHANNEL_TYPE_Credit and cash offices_MEAN,197.2
BURO_NEW_BURO_DAYS_CREDIT_DAYS_ENDDATE_FACT_DIFF_VAR,196.4
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,195.8
BURO_AMT_ANNUITY_MIN,195.4
PREV_INSTAL_PREV_DAYS_INSTALMENT_MAX_MEAN,195.0
APARTMENTS_MEDI,194.2
NONLIVINGAREA_AVG,193.8
CLOSED_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_ENDDATE_FACT_DIFF_VAR,192.8
PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,192.2
ACTIVE_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_DEBT_RATIO_MAX,191.6
PREV_NEW_INSTAL_PREV_AMT_INSTALMENT_AND_PAYMENT_SUM_DIFF_MAX,189.6
PREV_INSTAL_PREV_DAYS_ENTRY_PAYMENT_MAX_MEAN,189.4
PREV_INSTAL_PREV_DAYS_INSTALMENT_MAX_MIN,189.4
BURO_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_LIMIT_RATIO_MAX,189.2
CLOSED_MONTHS_BALANCE_MIN_MAX,188.4
PREV_NEW_INSTAL_PREV_AMT_INSTALMENT_AND_PAYMENT_SUM_RATIO_MIN,187.2
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_ENDDATE_FACT_DIFF_MAX,186.0
PREV_INSTAL_PREV_DAYS_ENTRY_PAYMENT_MAX_MIN,184.8
